step,horizon_hours,mse,rmse,mae,nrmse_percent
1,1.0,0.09590847542081277,0.309690935322319,0.14896309479925274,0.8389752510665531
2,2.0,0.09839938276506996,0.3136867589890749,0.15202071445840032,0.8496850663617779
3,3.0,0.09983344841215314,0.3159643150929439,0.1545637334613099,0.8559470288474926
4,4.0,0.10245351311344358,0.3200836033186386,0.1578378467483479,0.867200139693365
5,5.0,0.10562551472841414,0.32500079188890313,0.16108835832075968,0.8804507651734625
6,6.0,0.1081206315644581,0.328817018361973,0.16388647094462724,0.8906684839620714
7,7.0,0.1110771044619192,0.3332823194559219,0.1666175307344678,0.9028614861832792
8,8.0,0.11335765952168242,0.3366862924469638,0.169059816526705,0.912181682584321
9,9.0,0.11510792992370367,0.33927559582690836,0.17036584207226413,0.9191222464854656
10,10.0,0.11701621287050605,0.3420763260889389,0.17229717942579534,0.9265840444473344
11,11.0,0.11728823585661184,0.34247370097076335,0.17318993185681059,0.9277609299584979
12,12.0,0.11783974677461986,0.343277943909334,0.17372014954041418,0.9300403951510093
13,13.0,0.11936490001352218,0.3454922575305012,0.17475985993511392,0.9359636348462174
14,14.0,0.11914725403926182,0.3451771342937736,0.17507506575668672,0.9349832208543688
15,15.0,0.12033719497098273,0.3468965191105018,0.17619411153107462,0.9397423400893488
16,16.0,0.120145806399984,0.34662055103525524,0.17628614884364333,0.9390964959211986
17,17.0,0.12152214656151357,0.34860026758669244,0.17733485088367154,0.9443834599679843
18,18.0,0.12278781051222257,0.35041091665674823,0.1785147855274085,0.9491599962105836
19,19.0,0.12335013536740698,0.3512123792912302,0.1788506429111411,0.9514340012110455
20,20.0,0.12332453434888982,0.3511759307653214,0.17918683523007442,0.9514383525402554
21,21.0,0.12514598174088218,0.35375977971058575,0.18052317747647567,0.958360953287313
22,22.0,0.12696840831514108,0.35632626666461326,0.18196150805588163,0.9651829376320957
23,23.0,0.12875247580947083,0.3588209522999888,0.18353235809327012,0.9720456182498252
24,24.0,0.13057323130120668,0.36134918195729554,0.1846523830454372,0.97900066677112
25,25.0,0.13385123824434397,0.36585685485493363,0.18699959518351592,0.9911328090274146
26,26.0,0.13692520976886197,0.3700340656870148,0.18908123534086146,1.0023133289803285
27,27.0,0.13990460494012094,0.37403823994361984,0.1907127445078017,1.0132692359923927
28,28.0,0.14323361157664552,0.3784621666384178,0.1926260574775987,1.0253647496300167
29,29.0,0.14600512092924017,0.382106164474273,0.19423798414594173,1.0351533697304742
30,30.0,0.14944729105369098,0.3865841319217474,0.1962459609902493,1.0471425853132055
31,31.0,0.16015634317731078,0.4001953812543453,0.20057660651715395,1.0841289069064117
32,32.0,0.1813377434536364,0.42583769613978095,0.21149360205417425,1.1537189214016044
33,33.0,0.18523088824540734,0.4303845817933158,0.21329099895233308,1.165943110958075
34,34.0,0.18615108248589485,0.4314522945655694,0.21385605380964454,1.1686772266745729
35,35.0,0.18442055474751917,0.42944214365560257,0.21276105206650597,1.1633583584139369
36,36.0,0.1619120479878797,0.40238296185087125,0.20237570356416645,1.0901731832228039
37,37.0,0.16226910195633157,0.40282639183193,0.2035384209649466,1.0912859715176517
38,38.0,0.16379442902901126,0.40471524437437645,0.20454113621920977,1.0962544303179909
39,39.0,0.16324122469720762,0.4040312174785602,0.2038508467591491,1.0945201835868068
40,40.0,0.16388508161891388,0.40482722440433017,0.20435741905714053,1.0967954056854043
41,41.0,0.16438363914718185,0.4054425226184124,0.20447989035167322,1.098373259949674
42,42.0,0.16575676490773703,0.40713236779668727,0.2050982143793088,1.1028017059572612
43,43.0,0.16676451117474783,0.4083681074407597,0.20590365616180803,1.1062688143664923
44,44.0,0.16584739080346553,0.4072436504151606,0.20495941298159884,1.1033422108088922
45,45.0,0.168541220887281,0.4105377216374654,0.2062213104722867,1.1121765243939337
46,46.0,0.16837571258711245,0.4103360971046935,0.20599438914370538,1.1114796653281036
47,47.0,0.17085419677188893,0.4133451303352792,0.20720713278804298,1.1197515646505452
48,48.0,0.17275334795378916,0.4156360763381701,0.2079714508555134,1.126079748306416
49,49.0,0.17579734921138862,0.4192819447715208,0.20971547114189804,1.1358652603643318
50,50.0,0.17825190542397534,0.42219889320553095,0.2109687491781236,1.1436124870151272
51,51.0,0.18043544816435195,0.42477693930385624,0.21180772517016977,1.1507203242654633
52,52.0,0.18231789098019816,0.42698699158194287,0.21263421950851366,1.1568326990448772
53,53.0,0.18513506805032734,0.4302732481230123,0.21388264720696296,1.1656414999538722
54,54.0,0.1877335473415522,0.43328229520896905,0.2150618743751337,1.1736341595815922
55,55.0,0.18792519887356332,0.4335034012249077,0.21485897172264484,1.1743603013036221
56,56.0,0.18982500822065276,0.4356891187769701,0.21574658918943448,1.1804093079086702
57,57.0,0.19169712403084013,0.4378323012648109,0.2163249825937821,1.1861195242811435
58,58.0,0.19365894399618894,0.44006697671625955,0.21776981713135973,1.1920118640640642
59,59.0,0.19483815300287552,0.44140474963787546,0.2181697347437142,1.1957650466337368
60,60.0,0.19626367630193578,0.44301656436518916,0.21925359391268015,1.200261502059876
61,61.0,0.19698137821199724,0.4438258422084019,0.2197909406400467,1.2023564622873963
62,62.0,0.19786596207145463,0.4448212698055868,0.22027991933523652,1.2048898441615572
63,63.0,0.1981099765032417,0.4450954689763104,0.220332694665603,1.2057632018086784
64,64.0,0.1977258619646149,0.44466376281929576,0.2202852352272045,1.2047242446517916
65,65.0,0.19832122205083522,0.4453327093879757,0.22053956718861487,1.2064386749908167
66,66.0,0.19969021102654466,0.44686710667327556,0.22155595600713449,1.210431413848112
